stream_index,expected,clean_est,trojan_est,abs_err_clean,abs_err_trojan,affected_bits,affected_percent
214,0.577401,0.59375,0.640625,0.016348999999999947,0.06322399999999995,7,0.0546875
215,0.972986,0.96875,0.984375,0.0042360000000000175,0.011388999999999982,7,0.0546875
216,1.0,1.0,1.0,0.0,0.0,7,0.0546875
217,0.442515,0.4375,0.484375,0.005014999999999992,0.04186000000000001,7,0.0546875
218,0.9485239999999999,0.9375,0.921875,0.011023999999999923,0.026648999999999923,7,0.0546875
219,1.0,1.0,1.0,0.0,0.0,7,0.0546875
220,1.0,1.0,1.0,0.0,0.0,7,0.0546875
221,0.411813,0.40625,0.515625,0.005562999999999985,0.10381200000000002,7,0.0546875
222,1.0,1.0,1.0,0.0,0.0,7,0.0546875
223,0.984523,1.0,0.953125,0.015476999999999963,0.03139800000000004,7,0.0546875
224,1.0,1.0,1.0,0.0,0.0,7,0.0546875
225,1.0,1.0,1.0,0.0,0.0,7,0.0546875
226,0.248566,0.25,0.359375,0.0014339999999999908,0.11080899999999999,7,0.0546875
227,0.209268,0.203125,0.3125,0.0061430000000000096,0.10323199999999999,7,0.0546875
228,0.211174,0.21875,0.328125,0.007575999999999999,0.116951,7,0.0546875
229,0.814125,0.796875,0.90625,0.017249999999999988,0.09212500000000001,7,0.0546875
230,0.973944,0.984375,1.0,0.010430999999999968,0.026055999999999968,7,0.0546875
231,0.738622,0.734375,0.71875,0.004247000000000001,0.019872,7,0.0546875
232,1.0,1.0,1.0,0.0,0.0,7,0.0546875
233,1.0,1.0,1.0,0.0,0.0,7,0.0546875
234,0.820105,0.8125,0.703125,0.007604999999999973,0.11697999999999997,7,0.0546875
235,0.726575,0.734375,0.84375,0.007800000000000029,0.11717500000000003,7,0.0546875
236,1.0,1.0,1.0,0.0,0.0,7,0.0546875
237,0.909462,0.921875,1.0,0.012413000000000007,0.09053800000000001,7,0.0546875
238,0.381336,0.390625,0.46875,0.009288999999999992,0.08741399999999999,7,0.0546875
239,0.8635919999999999,0.859375,0.875,0.004216999999999915,0.011408000000000085,7,0.0546875
240,0.601829,0.59375,0.578125,0.008078999999999947,0.023703999999999947,7,0.0546875
241,1.0,1.0,1.0,0.0,0.0,7,0.0546875
242,1.0,1.0,1.0,0.0,0.0,7,0.0546875
243,0.793589,0.796875,0.8125,0.003286000000000011,0.01891100000000001,7,0.0546875
244,0.501395,0.5,0.484375,0.001395000000000035,0.017020000000000035,7,0.0546875
245,0.7165009999999999,0.71875,0.734375,0.0022490000000000565,0.017874000000000057,7,0.0546875
246,0.6578799999999999,0.671875,0.6875,0.01399500000000009,0.02962000000000009,7,0.0546875
247,1.0,1.0,1.0,0.0,0.0,7,0.0546875
248,1.0,1.0,1.0,0.0,0.0,7,0.0546875
249,1.0,1.0,1.0,0.0,0.0,7,0.0546875
250,1.0,1.0,1.0,0.0,0.0,7,0.0546875
251,1.0,1.0,1.0,0.0,0.0,7,0.0546875
252,0.20206200000000002,0.203125,0.21875,0.0010629999999999806,0.01668799999999998,7,0.0546875
253,0.8821779999999999,0.890625,0.90625,0.008447000000000093,0.024072000000000093,7,0.0546875
254,1.0,1.0,1.0,0.0,0.0,7,0.0546875
255,1.0,1.0,1.0,0.0,0.0,7,0.0546875
256,1.0,1.0,1.0,0.0,0.0,7,0.0546875
257,1.0,1.0,1.0,0.0,0.0,7,0.0546875
258,1.0,1.0,1.0,0.0,0.0,7,0.0546875
259,1.0,1.0,1.0,0.0,0.0,7,0.0546875
260,0.804265,0.796875,0.75,0.007390000000000008,0.05426500000000001,7,0.0546875
261,1.0,1.0,1.0,0.0,0.0,7,0.0546875
262,1.0,1.0,1.0,0.0,0.0,7,0.0546875
263,1.0,1.0,1.0,0.0,0.0,7,0.0546875
264,0.570357,0.5625,0.671875,0.007857000000000003,0.101518,7,0.0546875
265,0.7441650000000001,0.734375,0.75,0.009790000000000076,0.005834999999999924,7,0.0546875
266,1.0,1.0,1.0,0.0,0.0,7,0.0546875
267,1.0,1.0,1.0,0.0,0.0,7,0.0546875
268,1.0,1.0,1.0,0.0,0.0,7,0.0546875
269,1.0,1.0,1.0,0.0,0.0,7,0.0546875
270,0.587454,0.578125,0.6875,0.009329000000000032,0.10004599999999997,7,0.0546875
